uuid,name,stateId,stateCode,stateName,countryId,countryCode,countryName,latitude,longitude,wikiDataId
56141,Ágasegyháza,1048,BK,Bács-Kiskun,99,HU,Hungary,46.84025,19.45208,Q597231
55180,Akasztó,1048,BK,Bács-Kiskun,99,HU,Hungary,46.69167,19.20423,Q555288
55191,Apostag,1048,BK,Bács-Kiskun,99,HU,Hungary,46.88208,18.9621,Q516344
55287,Bácsalmás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.12648,19.3326,Q260522
55288,Bácsalmási Járás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.10167,19.33063,Q852582
55289,Bácsbokod,1048,BK,Bács-Kiskun,99,HU,Hungary,46.125,19.15621,Q852588
55203,Baja,1048,BK,Bács-Kiskun,99,HU,Hungary,46.18299,18.95307,Q203344
55204,Bajai Járás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.14507,19.01359,Q788679
55225,Ballószög,1048,BK,Bács-Kiskun,99,HU,Hungary,46.86216,19.57092,Q789508
55295,Bátya,1048,BK,Bács-Kiskun,99,HU,Hungary,46.488,18.95419,Q603829
55283,Bugac,1048,BK,Bács-Kiskun,99,HU,Hungary,46.68704,19.68074,Q384362
55347,Császártöltés,1048,BK,Bács-Kiskun,99,HU,Hungary,46.42194,19.18361,Q373905
55348,Csávoly,1048,BK,Bács-Kiskun,99,HU,Hungary,46.18917,19.14667,Q875575
55331,Csengőd,1048,BK,Bács-Kiskun,99,HU,Hungary,46.71543,19.26802,Q871659
55386,Dávod,1048,BK,Bács-Kiskun,99,HU,Hungary,45.995,18.91722,Q595231
55377,Dunapataj,1048,BK,Bács-Kiskun,99,HU,Hungary,46.644,18.99632,Q911434
55381,Dunavecse,1048,BK,Bács-Kiskun,99,HU,Hungary,46.91478,18.97127,Q613187
55383,Dusnok,1048,BK,Bács-Kiskun,99,HU,Hungary,46.39085,18.96296,Q911773
56147,Érsekcsanád,1048,BK,Bács-Kiskun,99,HU,Hungary,46.25352,18.98457,Q645142
55424,Felsőszentiván,1048,BK,Bács-Kiskun,99,HU,Hungary,46.19713,19.18686,Q289274
55439,Fülöpjakab,1048,BK,Bács-Kiskun,99,HU,Hungary,46.74221,19.72132,Q1006578
55440,Fülöpszállás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.82075,19.23748,Q1006094
55446,Gara,1048,BK,Bács-Kiskun,99,HU,Hungary,46.03194,19.04278,Q1008106
55493,Hajós,1048,BK,Bács-Kiskun,99,HU,Hungary,46.39861,19.12056,Q933411
55499,Harta,1048,BK,Bács-Kiskun,99,HU,Hungary,46.69758,19.0311,Q646203
55504,Helvécia,1048,BK,Bács-Kiskun,99,HU,Hungary,46.83661,19.62251,Q1035210
55505,Hercegszántó,1048,BK,Bács-Kiskun,99,HU,Hungary,45.95,18.93917,Q205462
55531,Izsák,1048,BK,Bács-Kiskun,99,HU,Hungary,46.80454,19.35172,Q627878
55535,Jánoshalma,1048,BK,Bács-Kiskun,99,HU,Hungary,46.29861,19.32583,Q549427
55536,Jánoshalmai Járás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.28283,19.31742,Q1070352
55552,Jászszentlászló,1048,BK,Bács-Kiskun,99,HU,Hungary,46.56685,19.76065,Q782069
55558,Kalocsa,1048,BK,Bács-Kiskun,99,HU,Hungary,46.52981,18.97283,Q679249
55559,Kalocsai Járás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.55646,19.04211,Q912473
55574,Katymár,1048,BK,Bács-Kiskun,99,HU,Hungary,46.03398,19.20935,Q387290
55578,Kecel,1048,BK,Bács-Kiskun,99,HU,Hungary,46.52528,19.25194,Q855008
55579,Kecskemét,1048,BK,Bács-Kiskun,99,HU,Hungary,46.90618,19.69128,Q171357
55580,Kecskeméti Járás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.88283,19.58701,Q1070345
55581,Kelebia,1048,BK,Bács-Kiskun,99,HU,Hungary,46.1968,19.61659,Q914507
55587,Kerekegyháza,1048,BK,Bács-Kiskun,99,HU,Hungary,46.93722,19.47806,Q854977
55602,Kiskőrös,1048,BK,Bács-Kiskun,99,HU,Hungary,46.62139,19.28528,Q646850
55603,Kiskőrösi Járás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.63309,19.33726,Q1070417
55594,Kiskunfélegyháza,1048,BK,Bács-Kiskun,99,HU,Hungary,46.71213,19.84458,Q478038
55595,Kiskunfélegyházi Járás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.65721,19.77006,Q692204
55596,Kiskunhalas,1048,BK,Bács-Kiskun,99,HU,Hungary,46.43402,19.48479,Q329775
55597,Kiskunhalasi Járás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.35832,19.53067,Q594485
55599,Kiskunmajsa,1048,BK,Bács-Kiskun,99,HU,Hungary,46.49028,19.74,Q629471
55600,Kiskunmajsai Járás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.49608,19.72316,Q1070041
55608,Kisszállás,1048,BK,Bács-Kiskun,99,HU,Hungary,46.28009,19.48954,Q589975
55626,Kunfehértó,1048,BK,Bács-Kiskun,99,HU,Hungary,46.36091,19.41454,Q933764
55630,Kunszentmiklós,1048,BK,Bács-Kiskun,99,HU,Hungary,47.02699,19.12575,Q843018
