uuid,name,countryId,countryCode,countryName,stateCode,type,latitude,longitude
4724,Alba,181,RO,Romania,AB,,44.7009153,8.0356911
4739,Arad County,181,RO,Romania,AR,,46.2283651,21.6597819
4722,Arges,181,RO,Romania,AG,,45.0722527,24.8142726
4744,Bacău County,181,RO,Romania,BC,,46.3258184,26.662378
4723,Bihor County,181,RO,Romania,BH,,47.0157516,22.172266
4733,Bistrița-Năsăud County,181,RO,Romania,BN,,47.2486107,24.5322814
4740,Botoșani County,181,RO,Romania,BT,,47.8924042,26.7591781
4736,Braila,181,RO,Romania,BR,,45.2652463,27.9594714
4759,Brașov County,181,RO,Romania,BV,,45.7781844,25.22258
4730,Bucharest,181,RO,Romania,B,,44.4267674,26.1025384
4756,Buzău County,181,RO,Romania,BZ,,45.3350912,26.7107578
4732,Călărași County,181,RO,Romania,CL,,44.3658715,26.7548607
4753,Caraș-Severin County,181,RO,Romania,CS,,45.1139646,22.0740993
4734,Cluj County,181,RO,Romania,CJ,,46.7941797,23.6121492
4737,Constanța County,181,RO,Romania,CT,,44.212987,28.2550055
4754,Covasna County,181,RO,Romania,CV,,45.9426347,25.8918984
4745,Dâmbovița County,181,RO,Romania,DB,,44.9289893,25.425385
4742,Dolj County,181,RO,Romania,DJ,,44.1623022,23.6325054
4747,Galați County,181,RO,Romania,GL,,45.7800569,27.8251576
4726,Giurgiu County,181,RO,Romania,GR,,43.9037076,25.9699265
4750,Gorj County,181,RO,Romania,GJ,,44.9485595,23.2427079
4749,Harghita County,181,RO,Romania,HR,,46.4928507,25.6456696
4721,Hunedoara County,181,RO,Romania,HD,,45.793638,22.9975993
4743,Ialomița County,181,RO,Romania,IL,,44.603133,27.3789914
4735,Iași County,181,RO,Romania,IS,,47.2679653,27.2185662
4725,Ilfov County,181,RO,Romania,IF,,44.535548,26.2324886
4760,Maramureș County,181,RO,Romania,MM,,46.5569904,24.6723215
4751,Mehedinți County,181,RO,Romania,MH,,44.5515053,22.9044157
4915,Mureș County,181,RO,Romania,MS,,46.5569904,24.6723215
4731,Neamț County,181,RO,Romania,NT,,46.9758685,26.3818764
4738,Olt County,181,RO,Romania,OT,,44.200797,24.5022981
4729,Prahova County,181,RO,Romania,PH,,45.0891906,26.0829313
4741,Sălaj County,181,RO,Romania,SJ,,47.2090813,23.2121901
